Boroughs,Jan-24,Jan-25,Absolute_Change,Growth_Pct
Tower Hamlets,47241.0,57872.0,10631.0,22.50375732943841
Newham,54399.0,64827.0,10428.0,19.169470027022555
Hackney,36418.0,46569.0,10151.0,27.873578999395903
Enfield,47951.0,57714.0,9763.0,20.360367875539616
Brent,48479.0,58213.0,9734.0,20.078797004888717
Ealing,47253.0,55715.0,8462.0,17.907857702156477
Barnet,39883.0,47061.0,7178.0,17.9976431060853
Hillingdon,30748.0,37351.0,6603.0,21.474567451541564
Haringey,39686.0,45643.0,5957.0,15.010331099128155
Redbridge,32864.0,38804.0,5940.0,18.074488802336905
Barking and Dagenham,34055.0,39951.0,5896.0,17.31316987226545
Lewisham,39771.0,45361.0,5590.0,14.055467551733674
Greenwich,34007.0,39314.0,5307.0,15.605610609580381
Waltham Forest,34722.0,39981.0,5259.0,15.14601693450838
Wandsworth,25752.0,30889.0,5137.0,19.947965206585895
Croydon,51723.0,56714.0,4991.0,9.649478955203682
Lambeth,37959.0,42893.0,4934.0,12.998234937695935
Harrow,22938.0,27810.0,4872.0,21.239863981166625
Islington,26353.0,31019.0,4666.0,17.705764049633817
Camden,21153.0,25604.0,4451.0,21.041932586394367
Southwark,39315.0,43303.0,3988.0,10.143711051761414
Hounslow,38259.0,42173.0,3914.0,10.230272615593716
Westminster,19987.0,23691.0,3704.0,18.53204582978936
Havering,23391.0,27067.0,3676.0,15.715446111752385
Bromley,22864.0,26174.0,3310.0,14.476906927921624
Bexley,20030.0,22894.0,2864.0,14.298552171742388
Hammersmith and Fulham,19852.0,22202.0,2350.0,11.837598226878903
Merton,19902.0,22252.0,2350.0,11.807858506682747
Kingston upon Thames,11599.0,13615.0,2016.0,17.380808690404344
Kensington and Chelsea,11253.0,13094.0,1841.0,16.360081755976182
Sutton,17971.0,19771.0,1800.0,10.01613710978799
Richmond upon Thames,10045.0,11675.0,1630.0,16.226978596316574
City of London,454.0,481.0,27.0,5.947136563876652
